"gss_cp;""gss_insee"";""gss_ville"";""str_nom_commercial"";""sregion_lib"";""scentre_lib"";""gri_nom"""
"02140;""02116"";""BRAYE EN THIERACHE"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"02140;""02535"";""NAMPCELLES LA COUR"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"02700;""02014"";""AMIGNY ROUY"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"02220;""02421"";""LESGES"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"02220;""02393"";""JOUAIGNES"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"02220;""02249"";""CUIRY HOUSSE"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"02220;""02633"";""QUINCY SOUS LE MONT"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"02350;""02457"";""MARCHAIS"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"02350;""02430"";""LIESSE NOTRE DAME"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"02820;""02498"";""MONTAIGU"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"02240;""02483"";""MEZIERES SUR OISE"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"02240;""02170"";""CHATILLON SUR OISE"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"02340;""02502"";""MONTCORNET"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"02340;""02433"";""LISLET"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"02270;""02156"";""CHALANDRY"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"02270;""02261"";""DERCY"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"02270;""02529"";""MORTIERS"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"02210;""02533"";""MURET ET CROUTTES"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"02210;""02272"";""DROIZY"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"02220;""02447"";""MAAST ET VIOLAINE"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"02210;""02412"";""LAUNOY"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"02120;""02450"";""MACQUIGNY"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"02120;""02625"";""PROIX"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"02120;""02563"";""NOYALES"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"02270;""02491"";""MONCEAU LE NEUF ET FAUCOUZY"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"02270;""02096"";""BOIS LES PARGNY"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"02270;""02727"";""SONS ET RONCHERES"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"02270;""02169"";""CHATILLON LES SONS"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"02270;""02591"";""PARGNY LES BOIS"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"02200;""02598"";""PERNANT"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"02360;""02660"";""ROUVROY SUR SERRE"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
